key_resp.keys,key_resp.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,ISI,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,leftImg,rightImg,middle,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,id,key_resp_15.keys,key_resp_15.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,leftimg,rightimg,key_resp_16.keys,key_resp_16.rt,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block2.ran,key_resp_4.keys,key_resp_4.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,colorLoop.thisRepN,colorLoop.thisTrialN,colorLoop.thisN,colorLoop.thisIndex,colorLoop.ran,left,right,middleStim,cue,shapeLoop.thisRepN,shapeLoop.thisTrialN,shapeLoop.thisN,shapeLoop.thisIndex,shapeLoop.ran,LoopSelectFreqNumber.thisRepN,LoopSelectFreqNumber.thisTrialN,LoopSelectFreqNumber.thisN,LoopSelectFreqNumber.thisIndex,LoopSelectFreqNumber.ran,numFreq
space,7.024,m,11.377,z,0.001,space,3.106,1.321643287,z,1,0.414,0,0,0,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedRabbit.png,z,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.122244489,m,1,0.407,0,1,1,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/RedBoat.png,m,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.402805611,m,1,0.624,0,2,2,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueBoat.png,m,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.379759519,z,1,0.408,0,3,3,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,resources/assets/BlueRabbit.png,z,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,space,1.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,4.582,1.191382766,,,,,,,,,,,resources/assets/BlueBoat.png,m,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,z,3.747,m,0.827,m,1,0.403,0,0,0,1,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.319639279,,,,,,,,,,,resources/assets/RedBoat.png,z,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,m,0,0.488,0,1,1,0,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.403807615,,,,,,,,,,,resources/assets/RedRabbit.png,z,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,z,1,0.53,0,2,2,2,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.403807615,,,,,,,,,,,resources/assets/BlueRabbit.png,m,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,m,1,0.342,0,3,3,3,1,resources/assets/RedRabbitWhite.png,resources/assets/BlueBoatWhite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,space,2.495,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,6.665,1.245490982,,,,,,,,,,,,z,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.843,z,1,0.69,0,0,0,6,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueTruck.png,COLOR,,,,,,,,,,,
,,,,,,,,1.04509018,,,,,,,,,,,,m,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,1,0.456,0,1,1,1,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/YellowBall.png,COLOR,,,,,,,,,,,
,,,,,,,,1.300601202,,,,,,,,,,,,z,7,001,2021-07-07_19h47.37.824,ft-dccs-o_s1_r1_e1,2021.1.4,MacIntel,55.55555556,120011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,1,0.365,0,2,2,4,1,resources/assets/BlueBallWhite.png,resources/assets/YellowTruckWhite.png,resources/assets/BlueBall.png,COLOR,,,,,,,,,,,
